File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
sdio_sdcard.o,13.867435%,6697,61,6692,0,5,56
ff.o,12.509059%,6041,6,5884,157,0,6
oled.o,7.576667%,3659,23,1564,2072,23,0
mcu_cmic_gd32f470vet6.o,6.916116%,3340,1114,3338,0,2,1112
mc_w.l,6.357029%,3070,0,3070,0,0,0
printfa.o,4.870271%,2352,0,2352,0,0,0
ccsbcs.o,2.766447%,1336,0,120,1216,0,0
mf_w.l,2.207359%,1066,0,1066,0,0,0
sd_app.o,2.205289%,1065,0,94,971,0,0
mbrtu.o,1.876048%,906,266,770,136,0,266
gd32f4xx_rcu.o,1.743524%,842,0,834,8,0,0
gd25qxx.o,1.702110%,822,0,822,0,0,0
contest_modbus.o,1.598575%,772,64,772,0,0,64
gd30ad3344.o,1.557161%,752,2,724,28,0,2
perf_counter.o,1.445344%,698,36,694,4,0,36
system_gd32f4xx.o,1.437061%,694,4,690,0,4,0
contest_storage_final.o,1.385294%,669,561,598,71,0,561
gd32f4xx_dma.o,1.321102%,638,0,638,0,0,0
gd32f4xx_timer.o,1.308678%,632,0,632,0,0,0
gd32f4xx_sdio.o,1.296254%,626,0,626,0,0,0
mbcrc.o,1.205144%,582,0,70,512,0,0
gd32f4xx_usart.o,1.184437%,572,0,572,0,0,0
mb.o,1.165800%,563,151,434,0,129,22
gd32f4xx_adc.o,1.118174%,540,0,540,0,0,0
contest_port_clocked.o,1.093326%,528,2,528,0,0,2
btn_app.o,1.039488%,502,196,292,14,196,0
startup_gd32f450_470.o,0.960802%,464,8192,36,428,0,8192
gd32f4xx_i2c.o,0.919388%,444,0,444,0,0,0
contest_irq_all.o,0.906964%,438,0,438,0,0,0
mbfuncholding.o,0.853126%,412,0,412,0,0,0
contest_app.o,0.844843%,408,34,408,0,0,34
gd32f4xx_rtc.o,0.786864%,380,0,380,0,0,0
dadd.o,0.691612%,334,0,334,0,0,0
ui.o,0.664693%,321,24,306,11,4,20
mbfunccoils.o,0.641915%,310,0,310,0,0,0
gd32f4xx_pmu.o,0.617067%,298,16,298,0,0,16
gd32f4xx_gpio.o,0.583936%,282,0,282,0,0,0
contest_main.o,0.571511%,276,48,228,0,48,0
gd32f4xx_dac.o,0.492825%,238,0,238,0,0,0
diskio.o,0.488684%,236,0,236,0,0,0
dmul.o,0.472118%,228,0,228,0,0,0
ddiv.o,0.459694%,222,0,222,0,0,0
gd32f4xx_misc.o,0.447270%,216,0,216,0,0,0
depilogue.o,0.385149%,186,0,186,0,0,0
gd32f4xx_exti.o,0.385149%,186,0,186,0,0,0
alarm.o,0.376866%,182,165,182,0,0,165
perfc_port_default.o,0.352018%,170,0,170,0,0,0
storage.o,0.331311%,160,0,160,0,0,0
gd32f4xx_syscfg.o,0.273332%,132,0,132,0,0,0
gd32f4xx_spi.o,0.252625%,122,0,122,0,0,0
systick.o,0.244342%,118,4,118,0,0,4
mbfuncdisc.o,0.236059%,114,0,114,0,0,0
app_params.o,0.231918%,112,40,112,0,0,40
usart_app.o,0.219494%,106,515,106,0,0,515
mbfuncinput.o,0.215352%,104,0,104,0,0,0
uldiv.o,0.202928%,98,0,98,0,0,0
ldiv.o,0.202928%,98,0,98,0,0,0
ebtn.o,0.198787%,96,60,96,0,0,60
__dczerorl2.o,0.178080%,86,0,86,0,0,0
memmovea.o,0.132524%,64,0,64,0,0,0
crc16.o,0.124242%,60,0,60,0,0,0
dfixul.o,0.099393%,48,0,48,0,0,0
cdrcmple.o,0.099393%,48,0,48,0,0,0
init.o,0.099393%,48,0,48,0,0,0
uidiv.o,0.091111%,44,0,44,0,0,0
cpp_init.o,0.082828%,40,0,40,0,0,0
mbfuncother.o,0.078686%,38,34,38,0,0,34
memseta.o,0.074545%,36,0,36,0,0,0
llsshr.o,0.074545%,36,0,36,0,0,0
systick_wrapper_ual.o,0.074545%,36,0,36,0,0,0
llushr.o,0.066262%,32,0,32,0,0,0
llshl.o,0.062121%,30,0,30,0,0,0
handlers.o,0.062121%,30,0,30,0,0,0
strcmp.o,0.057979%,28,0,28,0,0,0
mbutils.o,0.053838%,26,0,26,0,0,0
strncpy.o,0.049697%,24,0,24,0,0,0
contest_adc.o,0.049697%,24,0,24,0,0,0
channel.o,0.049697%,24,0,24,0,0,0
report.o,0.024848%,12,1,12,0,0,1
entry9a.o,0.016566%,8,0,8,0,0,0
entry2.o,0.016566%,8,0,8,0,0,0
entry8a.o,0.008283%,4,0,4,0,0,0
entry5.o,0.008283%,4,0,4,0,0,0
