File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_gd32f450_470.o,70.505203%,8192,464,36,428,0,8192
mcu_cmic_gd32f470vet6.o,9.587744%,1114,3340,3338,0,2,1112
contest_storage_final.o,4.828299%,561,669,598,71,0,561
usart_app.o,4.432395%,515,106,106,0,0,515
mbrtu.o,2.289354%,266,906,770,136,0,266
btn_app.o,1.686892%,196,502,292,14,196,0
alarm.o,1.420088%,165,182,182,0,0,165
mb.o,1.299595%,151,563,434,0,129,22
contest_modbus.o,0.550822%,64,772,772,0,0,64
sdio_sdcard.o,0.525002%,61,6697,6692,0,5,56
ebtn.o,0.516396%,60,96,96,0,0,60
contest_main.o,0.413116%,48,276,228,0,48,0
app_params.o,0.344264%,40,112,112,0,0,40
perf_counter.o,0.309837%,36,698,694,4,0,36
mbfuncother.o,0.292624%,34,38,38,0,0,34
contest_app.o,0.292624%,34,408,408,0,0,34
ui.o,0.206558%,24,321,306,11,4,20
oled.o,0.197952%,23,3659,1564,2072,23,0
gd32f4xx_pmu.o,0.137705%,16,298,298,0,0,16
ff.o,0.051640%,6,6041,5884,157,0,6
systick.o,0.034426%,4,118,118,0,0,4
system_gd32f4xx.o,0.034426%,4,694,690,0,4,0
gd30ad3344.o,0.017213%,2,752,724,28,0,2
contest_port_clocked.o,0.017213%,2,528,528,0,0,2
report.o,0.008607%,1,12,12,0,0,1
