File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
sdio_sdcard.o,13.438616%,6697,61,6692,0,5,56
ff.o,12.122246%,6041,6,5884,157,0,6
oled.o,7.342377%,3659,23,1564,2072,23,0
mcu_cmic_gd32f470vet6.o,6.702251%,3340,1114,3338,0,2,1112
mc_w.l,6.188546%,3084,0,3084,0,0,0
printfa.o,4.719669%,2352,0,2352,0,0,0
ccsbcs.o,2.680901%,1336,0,120,1216,0,0
mf_w.l,2.215355%,1104,0,1104,0,0,0
sd_app.o,2.137095%,1065,0,94,971,0,0
mbrtu.o,1.818036%,906,266,770,136,0,266
gd32f4xx_rcu.o,1.689610%,842,0,834,8,0,0
gd25qxx.o,1.649476%,822,0,822,0,0,0
timeutil.o,1.500983%,748,0,748,0,0,0
perf_counter.o,1.400650%,698,36,694,4,0,36
system_gd32f4xx.o,1.392624%,694,4,690,0,4,0
gd30ad3344.o,1.360517%,678,2,650,28,0,2
contest_storage_final.o,1.342457%,669,561,598,71,0,561
gd32f4xx_dma.o,1.280250%,638,0,638,0,0,0
alarm.o,1.270217%,633,165,602,31,0,165
gd32f4xx_timer.o,1.268210%,632,0,632,0,0,0
gd32f4xx_sdio.o,1.256171%,626,0,626,0,0,0
mbcrc.o,1.167877%,582,0,70,512,0,0
gd32f4xx_usart.o,1.147811%,572,0,572,0,0,0
mb.o,1.129751%,563,151,434,0,129,22
gd32f4xx_adc.o,1.083598%,540,0,540,0,0,0
contest_port_clocked.o,1.059518%,528,2,528,0,0,2
contest_modbus.o,1.011358%,504,64,504,0,0,64
btn_app.o,1.007344%,502,196,292,14,196,0
gd32f4xx_rtc.o,0.947145%,472,0,472,0,0,0
startup_gd32f450_470.o,0.931091%,464,8192,36,428,0,8192
gd32f4xx_i2c.o,0.890958%,444,0,444,0,0,0
contest_irq_all.o,0.878918%,438,0,438,0,0,0
mbfuncholding.o,0.826745%,412,0,412,0,0,0
dadd.o,0.670225%,334,0,334,0,0,0
ui.o,0.644139%,321,24,306,11,4,20
mbfunccoils.o,0.622065%,310,0,310,0,0,0
gd32f4xx_pmu.o,0.597985%,298,16,298,0,0,16
contest_main.o,0.577919%,288,60,228,0,60,0
adc_app.o,0.577919%,288,8,184,96,8,0
gd32f4xx_gpio.o,0.565879%,282,0,282,0,0,0
gd32f4xx_dac.o,0.477586%,238,0,238,0,0,0
diskio.o,0.473572%,236,0,236,0,0,0
dmul.o,0.457519%,228,0,228,0,0,0
ddiv.o,0.445479%,222,0,222,0,0,0
gd32f4xx_misc.o,0.433439%,216,0,216,0,0,0
contest_app.o,0.413372%,206,20,206,0,0,20
channel.o,0.377252%,188,0,188,0,0,0
depilogue.o,0.373239%,186,0,186,0,0,0
gd32f4xx_exti.o,0.373239%,186,0,186,0,0,0
perfc_port_default.o,0.341133%,170,0,170,0,0,0
storage.o,0.321066%,160,0,160,0,0,0
rtc_time.o,0.288959%,144,0,144,0,0,0
gd32f4xx_syscfg.o,0.264879%,132,0,132,0,0,0
systick.o,0.236786%,118,4,118,0,0,4
mbfuncdisc.o,0.228759%,114,0,114,0,0,0
gd32f4xx_spi.o,0.224746%,112,0,112,0,0,0
app_params.o,0.224746%,112,40,112,0,0,40
usart_app.o,0.212706%,106,515,106,0,0,515
mbfuncinput.o,0.208693%,104,0,104,0,0,0
uldiv.o,0.196653%,98,0,98,0,0,0
ldiv.o,0.196653%,98,0,98,0,0,0
ebtn.o,0.192640%,96,60,96,0,0,60
comm.o,0.184613%,92,0,92,0,0,0
__dczerorl2.o,0.172573%,86,0,86,0,0,0
memmovea.o,0.128426%,64,0,64,0,0,0
crc16.o,0.120400%,60,0,60,0,0,0
dfixul.o,0.096320%,48,0,48,0,0,0
cdrcmple.o,0.096320%,48,0,48,0,0,0
init.o,0.096320%,48,0,48,0,0,0
uidiv.o,0.088293%,44,0,44,0,0,0
cpp_init.o,0.080266%,40,0,40,0,0,0
f2d.o,0.076253%,38,0,38,0,0,0
mbfuncother.o,0.076253%,38,34,38,0,0,34
memseta.o,0.072240%,36,0,36,0,0,0
llsshr.o,0.072240%,36,0,36,0,0,0
systick_wrapper_ual.o,0.072240%,36,0,36,0,0,0
llushr.o,0.064213%,32,0,32,0,0,0
llshl.o,0.060200%,30,0,30,0,0,0
handlers.o,0.060200%,30,0,30,0,0,0
strcmp.o,0.056187%,28,0,28,0,0,0
mbutils.o,0.052173%,26,0,26,0,0,0
strncpy.o,0.048160%,24,0,24,0,0,0
contest_adc.o,0.048160%,24,0,24,0,0,0
strlen.o,0.028093%,14,0,14,0,0,0
report.o,0.024080%,12,1,12,0,0,1
entry9a.o,0.016053%,8,0,8,0,0,0
entry2.o,0.016053%,8,0,8,0,0,0
entry8a.o,0.008027%,4,0,4,0,0,0
entry5.o,0.008027%,4,0,4,0,0,0
