File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
startup_gd32f450_470.o,70.468819%,8192,464,36,428,0,8192
mcu_cmic_gd32f470vet6.o,9.582796%,1114,3340,3338,0,2,1112
contest_storage_final.o,4.825807%,561,669,598,71,0,561
usart_app.o,4.430108%,515,106,106,0,0,515
mbrtu.o,2.288172%,266,906,770,136,0,266
btn_app.o,1.686021%,196,502,292,14,196,0
alarm.o,1.419355%,165,633,602,31,0,165
mb.o,1.298925%,151,563,434,0,129,22
contest_modbus.o,0.550538%,64,504,504,0,0,64
sdio_sdcard.o,0.524731%,61,6697,6692,0,5,56
ebtn.o,0.516129%,60,96,96,0,0,60
contest_main.o,0.516129%,60,288,228,0,60,0
app_params.o,0.344086%,40,112,112,0,0,40
perf_counter.o,0.309677%,36,698,694,4,0,36
mbfuncother.o,0.292473%,34,38,38,0,0,34
ui.o,0.206452%,24,321,306,11,4,20
oled.o,0.197849%,23,3659,1564,2072,23,0
contest_app.o,0.172043%,20,206,206,0,0,20
gd32f4xx_pmu.o,0.137634%,16,298,298,0,0,16
adc_app.o,0.068817%,8,288,184,96,8,0
ff.o,0.051613%,6,6041,5884,157,0,6
systick.o,0.034409%,4,118,118,0,0,4
system_gd32f4xx.o,0.034409%,4,694,690,0,4,0
gd30ad3344.o,0.017204%,2,678,650,28,0,2
contest_port_clocked.o,0.017204%,2,528,528,0,0,2
report.o,0.008602%,1,12,12,0,0,1
