File_name,flash percent,flash,ram,Code,RO_data,RW_data,ZI_data
bl_bsp.o,18.549273%,1519,1035,1408,105,6,1029
bl_core.o,15.142264%,1240,49311,1240,0,0,49311
gd32f4xx_fmc.o,9.427280%,772,0,772,0,0,0
protocol.o,9.134205%,748,0,732,16,0,0
system_gd32f4xx.o,6.765173%,554,4,550,0,4,0
gd32f4xx_usart.o,6.569789%,538,0,538,0,0,0
startup_gd32f450_470.o,5.666138%,464,8192,36,428,0,8192
gd32f4xx_i2c.o,5.202100%,426,0,426,0,0,0
gd32f4xx_dma.o,4.469410%,366,0,366,0,0,0
gd32f4xx_rcu.o,3.516913%,288,0,280,8,0,0
gd32f4xx_gpio.o,3.223837%,264,0,264,0,0,0
gd32f4xx_it.o,2.735377%,224,0,224,0,0,0
gd32f4xx_misc.o,2.124802%,174,0,174,0,0,0
mc_w.l,2.075956%,170,0,170,0,0,0
systick.o,1.440957%,118,4,118,0,0,4
crc16.o,0.732690%,60,0,60,0,0,0
init.o,0.586152%,48,0,48,0,0,0
main.o,0.561729%,46,0,46,0,0,0
memseta.o,0.439614%,36,0,36,0,0,0
memcpya.o,0.439614%,36,0,36,0,0,0
handlers.o,0.366345%,30,0,30,0,0,0
gd32f4xx_exti.o,0.366345%,30,0,30,0,0,0
gd32f4xx_pmu.o,0.219807%,18,0,18,0,0,0
entry9a.o,0.097692%,8,0,8,0,0,0
entry2.o,0.097692%,8,0,8,0,0,0
entry5.o,0.048846%,4,0,4,0,0,0
