File_name,ram_percent,ram,flash,Code,RO_data,RW_data,ZI_data
ota_uart.o,57.109467%,20524,3160,3160,0,0,20524
startup_gd32f450_470.o,22.794813%,8192,464,36,428,0,8192
mcu_cimc_gd32f470vet6.o,7.423897%,2668,2744,2720,0,24,2644
usart_app.o,7.167900%,2576,464,448,0,16,2560
sd_app.o,4.040292%,1452,2442,2230,196,16,1436
btn_app.o,0.545384%,196,572,362,14,196,0
scheduler.o,0.211475%,76,176,100,0,76,0
sdio_sdcard.o,0.189215%,68,7184,7148,0,36,32
perf_counter.o,0.178084%,64,912,844,4,64,0
ebtn.o,0.166954%,60,2070,2070,0,0,60
oled.o,0.063999%,23,4321,1586,2712,23,0
gd32f4xx_pmu.o,0.044521%,16,312,312,0,0,16
led_app.o,0.019478%,7,283,276,0,7,0
ff.o,0.016695%,6,6393,6246,141,6,0
systick.o,0.011130%,4,168,164,0,4,0
system_gd32f4xx.o,0.011130%,4,970,966,0,4,0
gd30ad3344.o,0.005565%,2,942,940,0,2,0
